Time_Stamp,Value
2019-06-22 09:09:32,41.40998
2019-06-22 09:10:02,41.06999
2019-06-22 09:12:56,41.06999
2019-06-22 09:13:31,40.49999
2019-06-22 09:14:07,40.93999
2019-06-22 09:15:01,40.93999
2019-06-22 09:15:48,41.44998
2019-06-22 09:19:43,41.44998
2019-06-22 09:20:05,41.86999
2019-06-22 09:20:37,41.47998
2019-06-22 09:21:02,41.66999
2019-06-22 09:21:27,42.28999
2019-06-22 09:21:53,42.01998
2019-06-22 09:23:47,42.01998
2019-06-22 09:24:12,42.24
2019-06-22 09:26:06,42.24
2019-06-22 09:26:54,42.30999
2019-06-22 09:27:20,42.68999
2019-06-22 09:28:13,42.68999
2019-06-22 09:28:30,42.58999
2019-06-22 09:32:24,42.58999
2019-06-22 09:33:06,42.09998
2019-06-22 09:33:49,42.45999
2019-06-22 09:34:29,41.86999
2019-06-22 09:34:46,42.27
2019-06-22 09:35:38,42.68999
2019-06-22 09:36:08,42.28999
2019-06-22 09:38:03,42.28999
2019-06-22 09:38:16,42.10999
2019-06-22 09:39:10,42.10999
2019-06-22 09:39:20,41.29999
2019-06-22 09:39:47,41.57998
2019-06-22 09:41:41,41.57998
2019-06-22 09:42:05,41.34998
2019-06-22 09:44:59,41.34998
2019-06-22 09:45:39,41.73
2019-06-22 09:46:33,41.45998
2019-06-22 09:47:27,41.45998
2019-06-22 09:47:51,40.94999
2019-06-22 09:48:29,41.22999
2019-06-22 09:48:57,40.92999
2019-06-22 09:49:53,41.21999
2019-06-22 09:50:47,41.21999
2019-06-22 09:51:52,40.71999
2019-06-22 09:52:47,40.71999
2019-06-22 09:53:09,41.21999
2019-06-22 09:53:27,40.73999
2019-06-22 09:54:20,40.73999
2019-06-22 09:55:18,41.29999
2019-06-22 09:55:32,40.52999
2019-06-22 09:56:02,41.00999
2019-06-22 09:56:34,40.57999
2019-06-22 09:57:09,41.34998
2019-06-22 09:57:40,40.76999
2019-06-22 09:58:34,40.76999
2019-06-22 09:58:52,41.39999
2019-06-22 09:59:04,40.38
2019-06-22 09:59:26,40.96999
2019-06-22 10:00:19,41.43999
2019-06-22 10:00:36,40.91999
2019-06-22 10:00:59,41.40998
2019-06-22 10:01:21,42.31999
2019-06-22 10:01:52,42.09998
2019-06-22 10:02:46,42.09998
2019-06-22 10:03:12,42.32999
2019-06-22 10:04:12,43.07999
2019-06-22 10:04:49,42.63998
2019-06-22 10:05:11,43.42999
2019-06-22 10:05:34,42.98999
2019-06-22 10:09:29,42.98999
2019-06-22 10:10:14,42.75998
2019-06-22 10:11:01,42.35999
2019-06-22 10:11:36,41.99998
2019-06-22 10:12:01,41.63
2019-06-22 10:12:55,41.63
2019-06-22 10:13:33,40.87999
2019-06-22 10:14:27,40.87999
2019-06-22 10:14:53,40.45999
2019-06-22 10:15:47,40.45999
2019-06-22 10:15:58,39.88999
2019-06-22 10:16:41,40.18999
2019-06-22 10:17:04,39.43999
2019-06-22 10:17:24,39.73999
2019-06-22 10:18:22,40.37
2019-06-22 10:19:16,40.37
2019-06-22 10:19:25,40.90999
2019-06-22 10:21:19,40.90999
2019-06-22 10:21:42,40.82999
2019-06-22 10:23:36,40.82999
2019-06-22 10:24:35,41.36999
2019-06-22 10:25:17,41.08999
2019-06-22 10:27:11,41.08999
2019-06-22 10:27:27,40.59999
2019-06-22 10:27:47,41.20999
2019-06-22 10:28:41,41.20999
2019-06-22 10:29:01,41.75999
2019-06-22 10:29:24,41.12999
2019-06-22 10:29:46,41.83999
2019-06-22 10:30:40,41.83999
2019-06-22 10:30:56,41.40998
2019-06-22 10:31:22,41.83999
2019-06-22 10:33:16,41.83999
2019-06-22 10:33:41,42.24
2019-06-22 10:34:13,41.79999
2019-06-22 10:35:05,42.18998
2019-06-22 10:35:46,41.80999
2019-06-22 10:38:40,41.80999
2019-06-22 10:39:31,41.56998
2019-06-22 10:40:25,41.56998
2019-06-22 10:40:51,41.07999
