Refno Claim,Claim Registration Date,Repair Date,Repairing Dealer,State,Job Number,Vehicle Marketing Type,Product Id,Causal Part Number,Causal Part Name,Function Group 4 Digits,Fgrp 4 Digits Description,Chassis Number,Vehicle Registration Number,Vehicle Mileage On Claim (km),Number OfRepairs,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment,Company,Delivery Importer,Credit Date,Debit Code,Credit Period,Model_,Year
130091,,17/08/2015,92767,WA,4,FH13 64T,,21710522,"SOLENOID VALVE, CLUTCH OPERATION",4312,,135556,,693805,,122,637.77,0,759.77,759.77,,,42243,9,42217,FH13,2015
130091,,17/08/2015,92767,WA,3,FH13 64T,,20497205,"GASKET, MULTI-DISC BRAKE",4319,,135556,,693805,,61,116.77,0,177.77,177.77,,,42243,9,42217,FH13,2015
130091,,17/08/2015,92767,WA,2,FH13 64T,,20483426,"SEALING RING, 57,5*90*12   INPUT SHAFT",4319,,135556,,693805,,73.2,112.94,0,186.14,186.14,,,42243,9,42217,FH13,2015
4803100,,27/07/2015,396485,VIC,1,FH13 64T,,21241959,"TIMING GEAR PLATE, UTURBOC-GRINDED",2126,,135632,,263526,,2615.04,2099.81,0,4714.85,4714.85,,,42215,9,42186,FH13,2015
4803100,,27/07/2015,396485,VIC,2,FH13 64T,,21563752,"OIL FILTER HOUSING, THERMAL MANAGEMENT",2222,,135632,,263526,,172.8,1309.59,0,1482.39,1482.39,,,42215,9,42186,FH13,2015
4803082,,21/07/2015,396485,VIC,1,FH13 64T,,21422765,"BELT TENSIONER, 10K- D=74- L=95- T=43N.M",2634,,135632,,263526,,69.12,192.4,0,261.52,261.52,,,42215,9,42186,FH13,2015
7980282,,24/06/2015,92197,SA,3,FH13 64T,,21347087,"CRANKSHAFT SEAL, ASSY FRONT",2167,,135633,,581271,,-129.06,0,0,-129.06,-129.06,,,42229,9,42217,FH13,2015
7980282,,24/06/2015,92197,SA,1,FH13 64T,,20758814,"CHARGE AIR COOLER, WIDE",2651,,135633,,581271,,0,-25.88,0,-25.88,-25.88,,,42229,9,42217,FH13,2015
2504013,,15/06/2015,788051,NSW,1,FH13 64T,,20508112,"EXHAUST MANIFOLD, WITH TURBO FLANGE",2511,,135684,,421869,,227.7,202.37,375,805.07,805.07,,,42215,9,42186,FH13,2015
132844,,3/07/2015,93385,NSW,1,FH13 64T,,20538793,"SEALING STRIP, VALVE COVER",2116,,135698,,680032,,48.6,124.62,0,173.22,173.22,,,42215,9,42186,FH13,2015
132844,,3/07/2015,93385,NSW,2,FH13 64T,,22429384,OIL HOSE,4319,,135698,,680032,,170.1,184.72,0,354.82,354.82,,,42215,9,42186,FH13,2015
129971,,13/08/2015,92767,WA,1,FH13 64T,,21818296,"OIL HOSE, GEARBOX",4319,,135800,,602344,,329.4,184.72,0,514.12,514.12,,,42236,9,42217,FH13,2015
101667,,1/07/2015,19053,VIC,1,FH13 64T,,21253770,"CYLINDER LINER KIT, MONOTHERM",2131,,135817,,651993,,2516.4,11127.33,172.05,13815.78,13815.78,,,42236,9,42217,FH13,2015
2003806,,27/07/2015,880625,VIC,1,FH13 64T,,21567736,"SENSOR, NOX 600 MM",2846,,135847,,175236,,218.7,686.87,0,905.57,905.57,,,42236,9,42217,FH13,2015
2003863,,21/08/2015,880625,VIC,2,FH13 64T,,21818296,"OIL HOSE, GEARBOX",4319,,135875,,239617,,97.2,108.78,0,205.98,205.98,,,42243,9,42217,FH13,2015
132909,,14/07/2015,93385,NSW,2,FH13 64T,,21383310,"GASKET, TIMING GEAR COVER",2152,,135885,,525367,,303.75,46.57,0,350.32,350.32,,,42222,9,42217,FH13,2015
132909,,14/07/2015,93385,NSW,1,FH13 64T,,22095883,"OIL FILTER HOUSING, HDE13 TM ASSY",2222,,135885,,525367,,194.4,1289.77,0,1484.17,1484.17,,,42222,9,42217,FH13,2015
132927,,2/08/2015,93385,NSW,1,FH13 64T,,21422765,"BELT TENSIONER, 10K- D=74- L=95- T=43N.M",2634,,135885,,538805,,72.9,262.44,0,335.34,335.34,,,42229,9,42217,FH13,2015
132909,,14/07/2015,93385,NSW,4,FH13 64T,,21312237,"CHARGE AIR HOSE, HOT SIDE",2652,,135885,,525367,,60.75,244.09,0,304.84,304.84,,,42222,9,42217,FH13,2015
132909,,14/07/2015,93385,NSW,3,FH13 64T,,20545485,"DIAPHRAGM, DIFF. LOCK",4684,,135885,,525367,,48.6,68.3,0,116.9,116.9,,,42222,9,42217,FH13,2015
132928,,3/08/2015,93385,NSW,1,FH13 64T,,20483578,"GASKET, OIL FILTER HOUSING",4911,,135889,,693964,,97.2,160.43,0,257.63,257.63,,,42229,9,42217,FH13,2015
1202035,,29/07/2015,691188,SA,3,FH13 64T,,21634017,"PRESSURE SENSOR, CRANKCASE PRESSURE",2846,,135903,,235034,,61,178.41,0,239.41,239.41,,,42222,9,42217,FH13,2015
1202035,,29/07/2015,691188,SA,1,FH13 64T,,21302639,"PRESSURE SENSOR, FUEL/OIL",2846,,135903,,235034,,158.6,406.48,0,565.08,565.08,,,42222,9,42217,FH13,2015
