Repairing Dealer,Claim Registration Date,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment
542457.0,,170.1,447.3,0.0,617.4,617.4
79129.0,,294.93,962.66,0.0,1257.59,1257.59
766085.0,,284.76,435.49,0.0,720.25,720.25
880625.0,,279.45,235.36,360.0,874.81,874.81
92197.0,,247.36,309.46,344.55,901.37,901.37
92197.0,,677.56,4239.27,0.0,4916.83,4916.83
542457.0,,315.9,179.61,1.0,496.51,496.51
600828.0,,0.0,192.4,0.0,192.4,192.4
766085.0,,81.36,0.0,163.64,245.0,245.0
92767.0,,390.4,161.06,360.0,911.46,911.46
92767.0,,1.22,1745.9,0.0,1747.12,1747.12
542457.0,,315.9,179.61,584.7,1080.21,1080.21
880625.0,,279.45,194.12,360.0,833.57,833.57
880625.0,,121.5,1553.64,0.0,1675.14,1675.14
880625.0,,121.5,519.97,0.0,641.47,641.47
92197.0,,978.69,1227.75,0.0,2206.44,2206.44
766085.0,,233.91,140.69,163.64,538.24,538.24
85993.0,,538.2,2191.89,0.0,2730.09,2730.09
92197.0,,64.53,176.32,0.0,240.85,240.85
880625.0,,109.35,199.94,360.0,669.29,669.29
880625.0,,218.7,1745.9,0.0,1964.6,1964.6
766085.0,,1698.39,6270.16,0.0,7968.55,7968.55
766085.0,,196.28,199.12,0.0,395.4,395.4
766085.0,,81.36,0.0,163.64,245.0,245.0
488428.0,,62.4,192.4,0.0,254.8,254.8
92197.0,,247.36,1940.58,1472.26,3660.2,3660.2
70287.0,,65.34,192.4,0.0,257.74,257.74
766085.0,,61.02,118.7,0.0,179.72,179.72
480274.0,,374.4,1914.81,0.0,2289.21,2289.21
92767.0,,280.6,187.97,0.0,468.57,468.57
490233.0,,167.04,149.78,0.0,316.82,316.82
92767.0,,219.6,2008.86,0.0,2228.46,2228.46
92767.0,,378.2,1898.21,0.0,2276.41,2276.41
92197.0,,2602.68,9890.83,0.0,12493.51,12493.51
600828.0,,1757.75,6012.28,0.0,7770.03,7770.03
600828.0,,163.51,4393.15,216.48,4773.14,4773.14
766085.0,,274.59,1744.93,0.0,2019.52,2019.52
766085.0,,101.7,711.15,0.0,812.85,812.85
766085.0,,183.06,1745.9,0.0,1928.96,1928.96
70287.0,,0.0,1822.88,1317.7,3140.58,3140.58
766085.0,,183.06,1829.41,0.0,2012.47,2012.47
766085.0,,162.72,186.54,0.0,349.26,349.26
488428.0,,2589.6,9799.61,0.0,12389.21,12389.21
766085.0,,233.91,248.74,163.64,646.29,646.29
766085.0,,183.06,1831.43,0.0,2014.49,2014.49
766085.0,,50.85,117.77,0.0,168.62,168.62
92767.0,,97.6,179.45,0.0,277.05,277.05
70287.0,,174.24,230.02,0.0,404.26,404.26
70287.0,,108.9,224.37,0.0,333.27,333.27
880625.0,,279.45,211.16,360.0,850.61,850.61
880625.0,,170.1,1553.64,0.0,1723.74,1723.74
85993.0,,144.9,262.44,0.0,407.34,407.34
70287.0,,185.13,1986.41,0.0,2171.54,2171.54
92767.0,,244.0,655.03,0.0,899.03,899.03
92767.0,,48.8,95.43,0.0,144.23,144.23
601571.0,,354.26,1553.64,0.0,1907.9,1907.9
601571.0,,122.63,398.46,0.0,521.09,521.09
600828.0,,272.52,650.22,0.0,922.74,922.74
601571.0,,149.88,224.37,0.0,374.25,374.25
